stop_lat,stop_lon
-22.9248,-43.21172
-22.922492,-43.209598
-22.92588,-43.20972
-22.92438,-43.2088
-22.92432,-43.20941
-22.928204,-43.203502
-22.926991,-43.20824
-22.925151,-43.201223
-22.925151,-43.203004
-22.90769,-43.20011
-22.90949,-43.20594
-22.910299,-43.205638
-22.90786,-43.19828
-22.912297,-43.20442
-22.910148,-43.205172
-22.90818,-43.19931
-22.9075,-43.19952
-22.90794,-43.20089
-22.90966,-43.20643
-22.90954,-43.20028
-22.91143,-43.19956
-22.91376,-43.19951
-22.91031,-43.203643
-22.9096,-43.20122
-22.90861,-43.19795
-22.913339,-43.208206
-22.91267,-43.20611
-22.91597,-43.19651
-22.908606,-43.201059
-22.920919,-43.209982
-22.907609,-43.199404
-22.907833,-43.198783
-22.938418,-43.206965
-22.908062,-43.200725
-22.909861,-43.206312
-22.90968,-43.205737
-22.929656,-43.208505
-22.91547,-43.20947
-22.91405,-43.20528
-22.91288,-43.20215
-22.91274,-43.20142
-22.91221,-43.19866
-22.91639,-43.2093
-22.91439,-43.20535
-22.91401,-43.20054
-22.91259,-43.20581
-22.914564,-43.209973
-22.913358,-43.20975
-22.89479,-43.21542
-22.90757,-43.21843
-22.89402,-43.2287
-22.89716,-43.22196
-22.90694,-43.21579
-22.90052,-43.22503
-22.90061,-43.21746
-22.9025,-43.21814
-22.90914,-43.22234
-22.8993,-43.21664
-22.904526,-43.219472
-22.900934,-43.22387
-22.9003,-43.223247
-22.900754,-43.22366
-22.904433,-43.214814
-22.901897,-43.216521
-22.89692,-43.21672
-22.91531,-43.20902
-22.91415,-43.20564
-22.91564,-43.20808
-22.91331,-43.20284
-22.909238,-43.222916
-22.8904,-43.21891
-22.90411,-43.21611
-22.90341,-43.21449
-22.902025,-43.210979
-22.90617,-43.21025
-22.90845,-43.23094
-22.90931,-43.22631
-22.90735,-43.221704
-22.906357,-43.220639
-22.90403,-43.22267
-22.90001,-43.234537
-22.900648,-43.232294
-22.90045,-43.23258
-22.90022,-43.23003
-22.9,-43.22971
-22.89977,-43.2284
-22.898891,-43.227726
-22.897621,-43.227936
-22.899862,-43.226297
-22.90004,-43.22381
-22.8993,-43.22303
-22.89848,-43.21927
-22.897982,-43.217549
-22.89796,-43.21823
-22.89585,-43.21893
-22.89578,-43.21521
-22.904907,-43.218901
-22.90383,-43.21625
-22.90518,-43.214246
-22.89059,-43.23455
-22.89495,-43.24279
-22.8959,-43.24367
-22.88891,-43.244451
-22.89803,-43.23718
-22.89102,-43.23681
-22.8894,-43.23482
-22.9162,-43.19175
-22.91698,-43.19062
-22.9186,-43.19062
-22.92057,-43.18968
-22.91804,-43.18387
-22.91722,-43.18449
-22.91611,-43.18416
-22.91427,-43.18182
-22.91671,-43.18192
-22.916233,-43.182977
-22.91604,-43.18427
-22.93193,-43.201444
-22.92077,-43.18486
-22.92111,-43.18697
-22.91996,-43.18795
-22.92114,-43.18935
-22.918939,-43.190601
-22.91753,-43.19013
-22.91665,-43.19092
-22.91528,-43.19087
-22.93674,-43.20384
-22.93519,-43.20109
-22.92989,-43.19538
-22.92753,-43.19334
-22.92497,-43.18976
-22.92474,-43.18942
-22.92552,-43.19051
-22.92704,-43.1923
-22.927299,-43.192879
-22.93213,-43.19737
-22.889995,-43.244282
-22.900272,-43.24078
-22.89067,-43.24193
-22.89193,-43.23985
-22.88533,-43.25221
-22.88654,-43.25106
-22.88918,-43.244619
-22.890681,-43.242357
-22.891614,-43.240959
-22.891622,-43.240485
-22.89406,-43.23986
-22.89443,-43.23866
-22.89277,-43.23723
-22.89618,-43.23688
-22.89556,-43.24011
-22.89543,-43.24051
-22.89609,-43.2406
-22.89518,-43.24098
-22.89788,-43.24049
-22.898993,-43.239452
-22.90171,-43.24122
-22.905917,-43.239234
-22.904788,-43.240031
-22.90265,-43.24098
-22.907599,-43.237028
-22.90793,-43.2369
-22.908587,-43.234681
-22.90883,-43.2332
-22.897413,-43.236747
-22.89888,-43.2359
-22.900175,-43.234575
-22.89905,-43.23663
-22.9338,-43.19889
-22.91907,-43.18325
-22.938539,-43.207118
-22.937636,-43.20454
-22.934843,-43.199794
-22.928069,-43.193748
-22.921671,-43.186035
-22.916791,-43.181623
-22.915872,-43.181323
-22.916656,-43.184602
-22.918126,-43.183967
-22.931587,-43.196424
-22.934637,-43.199661
-22.935146,-43.201332
-22.936801,-43.203953
-22.942497,-43.207699
-22.91287,-43.19322
-22.918047,-43.177163
-22.917256,-43.184634
-22.918732,-43.183284
-22.916344,-43.181521
-22.928035,-43.193927
-22.932541,-43.197711
-22.93548,-43.202942
-22.94411,-43.20799
-22.927086,-43.192173
-22.920424,-43.184705
-22.933712,-43.200521
-22.921087,-43.187309
-22.920208,-43.189406
-22.920023,-43.189631
-22.91239,-43.19232
-22.936424,-43.196482
-22.934688,-43.195452
-22.934761,-43.197425
-22.934698,-43.197843
-22.889811,-43.229453
-22.88835,-43.23178
-22.88923,-43.23187
-22.89164,-43.22691
-22.88935,-43.22775
-22.89127,-43.22909
-22.88639,-43.22657
-22.897172,-43.226248
-22.895604,-43.226822
-22.893868,-43.227453
-22.910798,-43.183919
-22.913926,-43.182645
-22.91488,-43.18542
-22.91442,-43.18365
-22.91374,-43.18104
-22.91364,-43.17922
-22.91429,-43.17745
-22.91401,-43.1771
-22.91138,-43.18243
-22.911037,-43.18382
-22.93549,-43.17401
-22.93267,-43.17431
-22.93028,-43.17406
-22.937672,-43.2048
-22.917409,-43.194107
-22.921584,-43.186062
-22.929902,-43.195471
-22.91236,-43.18567
-22.91241,-43.18541
-22.912949,-43.182542
-22.91303,-43.18213
-22.91129,-43.18621
-22.91126,-43.18609
-22.885926,-43.228785
-22.88901,-43.22447
-22.9269,-43.17318
-22.92495,-43.17257
-22.926818,-43.173413
-22.9396,-43.17493
-22.94058,-43.17613
-22.939766,-43.176849
-22.934393,-43.175623
-22.94243,-43.17398
-22.94127,-43.17236
-22.93961,-43.17102
-22.93386,-43.17738
-22.936124,-43.177336
-22.93693,-43.17755
-22.93979,-43.17841
-22.936985,-43.17573
-22.914812,-43.176346
-22.916058,-43.176554
-22.92115,-43.1738
-22.91561,-43.17502
-22.9195,-43.17475
-22.92272,-43.17225
-22.924585,-43.172737
-22.92111,-43.17646
-22.92108,-43.17692
-22.916036,-43.176479
-22.916004,-43.176333
-22.918213,-43.176786
-22.918109,-43.176622
-22.917793,-43.17677
-22.912168,-43.172982
-22.93668,-43.19572
-22.93465,-43.19211
-22.935795,-43.191116
-22.93484,-43.19182
-22.93444,-43.19241
-22.93646,-43.19886
-22.93314,-43.1833
-22.937676,-43.190334
-22.93475,-43.18782
-22.9386,-43.19426
-22.93846,-43.19279
-22.93776,-43.1905
-22.93323,-43.18069
-22.93171,-43.18052
-22.93254,-43.18299
-22.9364,-43.18398
-22.93343,-43.18448
-22.93188,-43.17925
-22.936652,-43.196086
-22.935167,-43.194338
-22.935505,-43.189449
-22.930967,-43.17827
-22.931537,-43.177512
-22.930959,-43.17755
-22.928074,-43.176898
-22.92665,-43.17654
-22.92343,-43.17701
-22.92254,-43.17725
-22.92455,-43.17912
-22.92582,-43.17945
-22.929438,-43.174181
-22.931775,-43.174441
-22.933798,-43.174492
-22.935307,-43.174247
-22.936485,-43.174071
-22.938529,-43.192462
-22.91913,-43.1768
-22.92749,-43.17941
-22.92908,-43.17944
-22.93112,-43.17945
-22.945657,-43.207678
-22.93981,-43.19976
-22.94396,-43.20822
-22.94064,-43.19784
-22.9404,-43.19802
-22.93908,-43.19616
-22.9392,-43.19604
-22.94003,-43.19988
-22.93984,-43.20008
-22.945198,-43.182491
-22.947373,-43.182628
-22.949174,-43.183888
-22.949856,-43.190623
-22.950603,-43.193199
-22.956059,-43.177493
-22.95274,-43.17599
-22.955667,-43.196167
-22.954194,-43.191986
-22.951935,-43.185606
-22.951229,-43.183652
-22.94713,-43.18226
-22.951427,-43.194869
-22.957657,-43.194915
-22.95124,-43.18231
-22.95233,-43.186717
-22.955184,-43.19476
-22.951101,-43.183259
-22.94679,-43.18227
-22.94919,-43.18406
-22.95468,-43.17864
-22.95576,-43.17563
-22.946785,-43.182088
-22.943226,-43.180742
-22.941484,-43.179766
-22.942616,-43.181153
-22.946632,-43.182667
-22.955286,-43.195105
-22.95827,-43.19289
-22.958809,-43.19595
-22.95869,-43.19132
-22.94785,-43.18131
-22.94386,-43.1807
-22.952839,-43.193624
-22.956183,-43.19224
-22.957146,-43.19183
-22.95701,-43.18934
-22.95417,-43.19064
-22.940198,-43.18297
-22.94358,-43.18368
-22.94534,-43.18414
-22.94749,-43.18428
-22.948919,-43.184317
-22.95364,-43.18155
-22.9549,-43.18091
-22.95572,-43.17848
-22.942703,-43.176955
-22.943212,-43.180541
-22.945414,-43.181781
-22.94955,-43.18062
-22.95498,-43.17835
-22.95079,-43.18423
-22.942751,-43.176785
-22.958817,-43.191064
-22.956598,-43.177463
-22.949493,-43.188036
-22.938375,-43.194599
-22.95156,-43.184069
-22.954135,-43.180378
-22.94116,-43.18195
-22.953242,-43.189239
-22.94129,-43.18231
-22.942287,-43.180088
-22.953009,-43.196703
-22.95326,-43.19681
-22.959026,-43.200876
-22.957147,-43.198663
-22.955823,-43.198268
-22.958087,-43.196482
-22.958842,-43.20044
-22.95299,-43.17244
-22.95422,-43.16858
-22.95266,-43.16746
-22.94927,-43.1662
-22.94838,-43.16443
-22.94682,-43.16211
-22.94513,-43.161
-22.94336,-43.16164
-22.94517,-43.16332
-22.94802,-43.16418
-22.94847,-43.16593
-22.95198,-43.16856
-22.95391,-43.16889
